Serial;Model;Color;Gear;Fuel type;Year;Km;Price
156;1.6 TS Distinctive;Champagne;Manual;Benzine & LPG;13;180000;43500
156;1.6 TS Distinctive;Champagne;Manual;Benzine & LPG;13;146000;49950
156;1.6 TS;Black;Manual;Benzine;19;305000;25500
147;1.6 TS Distinctive;Black;Manual;Benzine;15;220000;25750
146;1.6 L;Black;Manual;Benzine;21;200000;18500
Giulietta;1.4 TB Distinctive;Black;Manual;Benzine;8;122000;68500
147;1.6 TS Distinctive;Black;Manual;Benzine;16;193400;29800
GT;2.0 JTS Distinctive;Black;Manual;Benzine;11;59000;81750
Giulietta;1.4 TB Progression Plus;Black;Manual;Benzine;8;139250;73000
Giulietta;1.4 TB Progression Plus;Black;Manual;Benzine;8;141500;71750
GT;2.0 JTS Distinctive;Black;Manual;Benzine;11;170000;61500
159;1.9 JTS Distinctive;Black;Manual;Benzine;13;158000;50000
GT;2.0 JTS Distinctive;Black;Manual;Benzine;13;87500;76500
MiTo;1.4 T Distinctive;Black;Manual;Benzine;9;163000;52500
156;1.6 TS Distinctive;Black;Manual;Benzine;14;210000;34900
GT;2.0 JTS Distinctive;Black;Manual;Benzine;13;168000;54000
159;1.9 JTS Distinctive;Black;Manual;Benzine;11;212028;43500
145;44652;Black;Manual;Benzine;22;205000;9250
Giulietta;1.4 TB MultiAir Distinctive;Black;Semi Automatic;Benzine;6;112000;91000
Giulietta;1.4 TB MultiAir Progression Pluse;Black;Semi Automatic;Benzine;7;110000;87000
Giulietta;1.4 TB MultiAir Distinctive;Black;Semi Automatic;Benzine;4;70000;120000
GT;2.0 JTS Dis.Selespeed;Black;Semi Automatic;Benzine;11;200000;58000
GT;2.0 JTS Dis.Selespeed;Black;Semi Automatic;Benzine;11;184600;58500
GT;2.0 JTS Dis.Selespeed;Black;Semi Automatic;Benzine;11;149000;65000
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;207000;32000
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;195000;48500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;247000;42000
75;2.0 Twin Spark;Black;Manual;Benzine & LPG;28;182000;26999
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;223000;30000
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;271000;29500
156;2.0 TS;Black;Manual;Benzine & LPG;20;280000;30000
156;1.6 TS;Black;Manual;Benzine & LPG;13;253000;37500
156;2.0 JTS  Distinctive;Black;Manual;Benzine & LPG;15;300000;30750
146;1.4 TS Ritmo;Black;Manual;Benzine & LPG;19;255000;20250
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;218000;34250
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;258200;41000
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;233000;29500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;135000;35500
145;44713;Black;Manual;Benzine & LPG;22;230000;15500
166;2.0 TB;Black;Manual;Benzine & LPG;20;6500;43000
156;2.0 TS Selespeed;Black;Manual;Benzine & LPG;17;238000;27500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;189500;42000
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;167000;45000
156;1.6 TS Progression;Black;Manual;Benzine & LPG;14;295000;32500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;260000;39500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;16;195000;32900
156;1.6 TS Progression;Black;Manual;Benzine & LPG;14;223000;38500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;207000;37500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;278000;27000
166;2.0 TS Distinctive;Black;Manual;Benzine & LPG;14;262000;55650
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;272000;22000
146;1.6 TS;Black;Manual;Benzine & LPG;20;146000;17500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;258000;30700
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;260000;37500
156;2.0 TS;Black;Manual;Benzine & LPG;21;278000;24500
156;2.0 TS Executive;Black;Manual;Benzine & LPG;20;330000;24000
156;1.6 TS Progression;Black;Manual;Benzine & LPG;13;305000;35000
156;1.6 TS Progression;Black;Manual;Benzine & LPG;15;215100;33500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;186300;41250
156;1.6 TS;Black;Manual;Benzine & LPG;13;230000;36500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;12;164000;43750
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;227000;33000
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;160000;47950
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;220000;42500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;179000;29500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;193000;41300
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;197500;41500
146;1.4 TS;Black;Manual;Benzine & LPG;18;229000;16500
156;2.0 TS Executive;Black;Manual;Benzine & LPG;21;292000;29500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;18;185000;23000
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;163050;34500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;216400;38500
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;297000;35250
156;2.0 TS;Black;Manual;Benzine & LPG;20;265000;32000
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;13;206000;41700
156;1.6 TS;Black;Manual;Benzine & LPG;18;219000;25000
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;14;281145;38000
156;1.6 TS;Black;Manual;Benzine & LPG;18;305000;19500
147;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;240000;33000
156;1.6 TS Distinctive;Black;Manual;Benzine & LPG;15;266000;32000
145;44743;Black;Manual;Benzine & LPG;24;222000;22750
156;1.6 TS Progression;Black;Manual;Benzine & LPG;15;266000;26750
156;2.0 JTS  Distinctive;Black;Semi Automatic;Benzine & LPG;15;327000;38750
Giulietta;1.4 TB MultiAir Distinctive;Black;Semi Automatic;Benzine & LPG;7;107500;99000
156;2.0 JTS  Distinctive;Black;Semi Automatic;Benzine & LPG;14;240000;42500
159;1.9 JTD Distinctive;Black;Manual;Diesel;12;218000;55000
Giulietta;1.6 JTD Distinctive;Black;Manual;Diesel;8;159000;80750
Giulietta;1.6 JTD Distinctive;Black;Manual;Diesel;6;124000;84500
Giulietta;1.6 JTD Distinctive;Black;Manual;Diesel;5;111000;87750
Giulietta;1.6 JTD Distinctive;Black;Manual;Diesel;4;117500;91750
Giulietta;1.6 JTD Progression Plus;Black;Manual;Diesel;7;86000;69900
Giulietta;1.6 JTD Distinctive;Black;Manual;Diesel;6;125000;62000
